County,County Code,Year,Intent,Deaths,Population,State,Rate
"Cobb County, GA",13067,2017,Homicide,35,755754,GA,4.631136587
"Cobb County, GA",13067,2018,Homicide,32,756865,GA,4.227966678
"Cobb County, GA",13067,2019,Homicide,22,760141,GA,2.894199892
"St. Clair County, IL",17163,2009,Homicide,51,268489,IL,18.99519161
"St. Clair County, IL",17163,2010,Homicide,33,270056,IL,12.21968777
"St. Clair County, IL",17163,2011,Homicide,49,270259,IL,18.13075605
"St. Clair County, IL",17163,2012,Homicide,34,268858,IL,12.64608083
"St. Clair County, IL",17163,2013,Homicide,37,266955,IL,13.86001386
"St. Clair County, IL",17163,2014,Homicide,37,265729,IL,13.92396012
"St. Clair County, IL",17163,2015,Homicide,32,264052,IL,12.11882508
"St. Clair County, IL",17163,2016,Homicide,38,262759,IL,14.46192138
"St. Clair County, IL",17163,2017,Homicide,47,262479,IL,17.9061944
"St. Clair County, IL",17163,2018,Homicide,36,261059,IL,13.78998617
"St. Clair County, IL",17163,2019,Homicide,41,259686,IL,15.78829818
"Ellis County, TX",48139,2009,Homicide,11,147392,TX,7.46309162
"Ellis County, TX",48139,2017,Homicide,11,173620,TX,6.335675613
"Oakland County, MI",26125,2009,Homicide,49,1200890,MI,4.080307106
"Oakland County, MI",26125,2010,Homicide,48,1202362,MI,3.992142134
"Oakland County, MI",26125,2011,Homicide,44,1210145,MI,3.635927926
"Oakland County, MI",26125,2012,Homicide,50,1220657,MI,4.096154776
"Oakland County, MI",26125,2013,Homicide,38,1231640,MI,3.085317138
"Oakland County, MI",26125,2014,Homicide,33,1237868,MI,2.665873906
"Oakland County, MI",26125,2015,Homicide,40,1242304,MI,3.219823811
"Oakland County, MI",26125,2016,Homicide,47,1243970,MI,3.778226163
"Oakland County, MI",26125,2017,Homicide,34,1250836,MI,2.71818208
"Oakland County, MI",26125,2018,Homicide,59,1259201,MI,4.685510891
"Oakland County, MI",26125,2019,Homicide,35,1257584,MI,2.783114289
"Onslow County, NC",37133,2009,Homicide,12,173064,NC,6.933851061
"Onslow County, NC",37133,2010,Homicide,11,177772,NC,6.1877011
"Onslow County, NC",37133,2013,Homicide,10,185220,NC,5.398984991
"Onslow County, NC",37133,2014,Homicide,10,187589,NC,5.330802979
"Onslow County, NC",37133,2015,Homicide,14,186311,NC,7.514317458
"Onslow County, NC",37133,2016,Homicide,11,187136,NC,5.878077975
"Onslow County, NC",37133,2017,Homicide,11,193893,NC,5.673232144
"El Paso County, TX",48141,2009,Homicide,25,786759,TX,3.177593138
"El Paso County, TX",48141,2010,Homicide,13,800647,TX,1.623686843
"El Paso County, TX",48141,2011,Homicide,25,820790,TX,3.045846075
"El Paso County, TX",48141,2012,Homicide,28,827398,TX,3.384102935
"El Paso County, TX",48141,2013,Homicide,12,827718,TX,1.449769124
"El Paso County, TX",48141,2014,Homicide,27,833487,TX,3.239402654
"El Paso County, TX",48141,2015,Homicide,28,835593,TX,3.350913663
"El Paso County, TX",48141,2016,Homicide,26,837918,TX,3.102928926
"El Paso County, TX",48141,2017,Homicide,24,840410,TX,2.85574898
"El Paso County, TX",48141,2018,Homicide,39,840758,TX,4.638671294
"El Paso County, TX",48141,2019,Homicide,44,839238,TX,5.242851253
"Benton County, WA",53005,2013,Homicide,10,184486,WA,5.42046551
"Colquitt County, GA",13071,2016,Homicide,10,45708,GA,21.87800823
"Sangamon County, IL",17167,2009,Homicide,15,196180,IL,7.646039352
"Sangamon County, IL",17167,2010,Homicide,10,197465,IL,5.06418859
"Sangamon County, IL",17167,2011,Homicide,14,198844,IL,7.040695218
"Sangamon County, IL",17167,2012,Homicide,15,199271,IL,7.52743751
"Sangamon County, IL",17167,2015,Homicide,11,198712,IL,5.535649583
"Sangamon County, IL",17167,2016,Homicide,10,197499,IL,5.063316776
"Sangamon County, IL",17167,2017,Homicide,13,196452,IL,6.617392544
"Sangamon County, IL",17167,2018,Homicide,13,195348,IL,6.654790425
"Sangamon County, IL",17167,2019,Homicide,12,194672,IL,6.164214679
"Maury County, TN",47119,2018,Homicide,11,94340,TN,11.65995336
"Kent County, DE",10001,2015,Homicide,10,173533,DE,5.762592706
"Kent County, DE",10001,2016,Homicide,11,174827,DE,6.291934312
"Kent County, DE",10001,2017,Homicide,11,176824,DE,6.220874994
